Campanha;Conjunto de anúncios;Anúncio;Valor gasto (BRL);Impressões;Cliques no link;Resultados;Valor de conversão da compra
Lançamento Set;Interesse - Techno;Video 15s vertical;R$ 3.240,00;186.420;2.410;62;R$ 18.600,00
Lançamento Set;Interesse - Techno;Carrossel line-up;R$ 2.880,00;142.300;1.180;41;R$ 11.480,00
Lançamento Set;Lookalike 1% compradores;Video 15s vertical;R$ 4.100,00;158.900;3.020;118;R$ 41.300,00
Lançamento Set;Lookalike 1% compradores;Estático artista;R$ 1.960,00;99.400;640;22;R$ 6.160,00
Lançamento Set;Retargeting 30d;Carrossel line-up;R$ 1.450,00;42.100;1.890;96;R$ 33.600,00
Lançamento Set;Interesse - Casa noturna;Estático genérico;R$ 2.700,00;210.500;418;0;R$ 0,00
Lançamento Set;Interesse - Casa noturna;Video 30s horizontal;R$ 1.880,00;96.200;302;0;R$ 0,00
Lançamento Set;Amplo - sem segmentação;Video 15s vertical;R$ 5.600,00;480.300;1.960;18;R$ 5.040,00
Promo Lote 2;Interesse - Techno;Story urgência;R$ 890,00;38.700;760;31;R$ 9.300,00
Promo Lote 2;Teste - Público novo;Story urgência;R$ 62,00;1.900;24;1;R$ 300,00
Promo Lote 2;Teste - Criativo novo;Video 8s;R$ 41,00;980;11;0;R$ 0,00
